School_Name,Address_Line_1,Address_Town,Postal_Postcode,Full_Phone_No,School URL,ICSEA,School_Type,Campus Type,LGA_Name,Suburb,Education_Sector,School Type,Year Range,Geolocation,Total Enrolments,Girls Enrolments,Boys Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%)
Werrimull P-12 School,5 McDonald Street,Werrimull,3496.0,03 5028 1251,http://www.werrp12.vic.edu.au,852.0,Pri/Sec,School Single Entity,Mildura (RC),Werrimull,Government,Combined,Prep-11,Outer Regional,33.0,17.0,16.0,24.0,0.0
Camperdown College,1 Wilson Street,Camperdown,3260.0,03 5593 1617,http://www.camperdowncoll.vic.edu.au,982.0,Pri/Sec,School Head Campus,Corangamite (S),Camperdown,Government,Combined,Prep-12,Inner Regional,379.0,190.0,189.0,4.0,2.0
Timboon P-12 School,Bailey Street,Timboon,3268.0,03 5598 3381,http://www.timboonp12.vic.edu.au,1008.0,Pri/Sec,School Single Entity,Corangamite (S),Timboon,Government,Combined,Prep-12,Outer Regional,458.0,244.0,214.0,1.0,7.0
Virtual School Victoria,315 Clarendon Street,Thornbury,3071.0,03 9965 0000,http://www.distance.vic.edu.au,1068.0,Pri/Sec,School Single Entity,Darebin (C),Thornbury,Government,Combined,Prep-12,Major Cities,5795.0,3469.0,2326.0,2.0,18.0
Wedderburn College,15-29 Hospital Street,Wedderburn,3518.0,03 5494 3011,http://www.wedderburn-college.vic.edu.au,920.0,Pri/Sec,School Single Entity,Loddon (S),Wedderburn,Government,Combined,Prep-12,Outer Regional,183.0,94.0,89.0,10.0,3.0
Hampton East School,1B Dane Road,Hampton East,3188.0,03 9555 6141,https://berendale.vic.edu.au/,1065.0,Special,School Head Campus,Bayside (C),Hampton East,Government,Special,U,Major Cities,143.0,45.0,98.0,1.0,29.0
Mount Erin Secondary College,43 Robinsons Road,Frankston South,3199.0,03 5971 6000,http://www.mounterin.vic.edu.au,996.0,Secondary,School Head Campus,Frankston (C),Frankston South,Government,Secondary,7-12,Major Cities,713.0,352.0,361.0,3.0,7.0
Box Hill Senior Secondary College,Dunloe Avenue,Mont Albert North,3129.0,03 9890 0571,http://www.bhssc.vic.edu.au,1055.0,Secondary,School Single Entity,Whitehorse (C),Mont Albert North,Government,Secondary,9-12,Major Cities,381.0,144.0,237.0,2.0,19.0
Edgars Creek Secondary College,2 Steen Avenue,Wollert,3750.0,03 9134 8200,https://www.edgarscreeksc.vic.edu.au/,1005.0,Secondary,School Single Entity,Whittlesea (C),Wollert,Government,Secondary,7-12,Major Cities,1210.0,607.0,603.0,1.0,76.0
Elevation Secondary College,199 Elevation Boulevard,Craigieburn,3064.0,03 8339 8000,https://www.elevationsc.vic.edu.au/,967.0,Secondary,School Single Entity,Hume (C),Craigieburn,Government,Secondary,7-10,Major Cities,718.0,344.0,374.0,2.0,80.0
Clyde Secondary College,21 Fernlea Homestead Road,Clyde,3978.0,03 8560 0600,https://clydesc.vic.edu.au,1015.0,Secondary,School Single Entity,Casey (C),Clyde,Government,Secondary,7-8,Major Cities,373.0,184.0,189.0,2.0,55.0
Cobden Technical School,Mckenzie Street,Cobden,3266.0,03 5595 1202,https://www.cobtech.vic.edu.au/,914.0,Secondary,School Single Entity,Corangamite (S),Cobden,Government,Secondary,7-12,Inner Regional,109.0,38.0,71.0,12.0,2.0
Lyndhurst Secondary College,950 South Gippsland Highway,Cranbourne,3977.0,03 5996 0144,http://www.lyndhurst.vic.edu.au,937.0,Secondary,School Single Entity,Casey (C),Cranbourne,Government,Secondary,7-12,Major Cities,772.0,378.0,394.0,2.0,46.0
Daylesford Secondary College,39 Smith Street,Daylesford,3460.0,03 5348 2367,http://www.daylesfordsc.vic.edu.au,1012.0,Secondary,School Single Entity,Hepburn (S),Daylesford,Government,Secondary,7-12,Inner Regional,468.0,229.0,239.0,3.0,5.0
Dromana Secondary College,110 Harrisons Road,Dromana,3936.0,03 5987 2805,http://www.dsc.vic.edu.au,1016.0,Secondary,School Single Entity,Mornington Peninsula (S),Dromana,Government,Secondary,7-12,Major Cities,1797.0,870.0,927.0,2.0,3.0
Grovedale College,19 Wingarra Drive,Grovedale,3216.0,03 5245 4545,http://www.grovedale.vic.edu.au,998.0,Secondary,School Single Entity,Greater Geelong (C),Grovedale,Government,Secondary,7-12,Major Cities,702.0,326.0,376.0,4.0,5.0
Irymple Secondary College,975 - 1011  Karadoc Ave,Irymple,3498.0,03 5024 5407,http://www.irysec.vic.edu.au,1002.0,Secondary,School Single Entity,Mildura (RC),Irymple,Government,Secondary,7-10,Outer Regional,621.0,298.0,323.0,5.0,3.0
Crusoe 7-10 Secondary College,57 - 75 Olympic Parade,Kangaroo Flat,3555.0,03 5447 7722,http://www.crusoecollege.vic.edu.au/,970.0,Secondary,School Head Campus,Greater Bendigo (C),Kangaroo Flat,Government,Secondary,7-10,Inner Regional,908.0,415.0,493.0,6.0,7.0
